title,address,description,price,date,seller,image
3 bedroom apartment for sale,"Clarges Mayfair, W1J","A three bedroom suite apartment with study and south-facing views of Green Park in one of Mayfair's finest new residences. Clarges Mayfair is a landmark, super-prime development of only 34 apartments offering residents 5* leisure facilities including gym, swimming pool, treatment rooms, cinema a...","£18,500,000",04/11/2019,"Harrods Estates, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/120k/119029/66171117/119029_MAY180051_IMG_01_0000_max_476x317.jpg
5 bedroom flat for sale,"The Sloane Building, Hortensia Road, Chelsea, London, SW10","The penthouse of an elegant Grade II listed Edwardian Building. Available now and fully furnished. Located on Hortensia Road in Chelsea, this luxurious five bedroom Penthouse has been beautifully conceived with over 6,000 sq ft of lateral living space and roof terraces giving you 360 panoramic v...","£18,500,000",08/11/2019,"Knight Frank - New Homes, Prime Central London Developments",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/42k/41063/86408045/41063_KRD151652_IMG_01_0000_max_476x317.jpg
5 bedroom flat for sale,"Chesham Place, London",A superb lateral apartment on the fourth floor of this luxury boutique development in the very heart of Belgravia.,"£18,500,000",08/01/2020,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/88635479/44264_SLN190072_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Elysian House, Ingram Avenue, NW11","Elysian House at 24 Ingram Avenue reflects luxury and sophistication to the letter. A house of majestic proportions located in this coveted leafy residential street in Hampstead Garden Suburb, which backs directly onto Turner’s Wood Bird Sanctuary. The grand living accommodation...",POA,16/03/2018,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/63158595/190037_26486393_IMG_01_0000_max_476x317.jpg
6 bedroom detached house for sale,"Ingram Avenue, Hampstead, London, NW11","A stunning newly built luxury home of grand proportions totalling 14,358 sq ft. This must-see masterpiece is set on Ingram Avenue, a highly sought-after leafy road in Hampstead Garden Suburb which is defined by absolute privacy by backing directly onto Turners Wood Bird Sanctuary. The property is...",POA,08/05/2019,"'s International Realty, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62080/71566969/62080_NLD180001_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Harley Street, Marylebone, London, W1G",Arguably one of Marylebone’s finest townhouses,"£18,500,000",25/09/2019,"Savills, Marylebone",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104930/65318295/104930_MBS190057_IMG_04_0000_max_476x317.jpg
4 bedroom penthouse for sale,"St. Edmunds Terrace, London, NW8","This elegant Penthouse is finished to the highest of standards and offers the very best in luxury living. Set within a brand new, architecturally designed gated development, with landscaped courtyard gardens, this property is enviously positioned on the park's edge benefiting from unrivaled views.",POA,02/03/2016,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/40372875/79099_1001294497_IMG_01_0000_max_476x317.jpg
3 bedroom flat for sale,"One Kensington Gardens, Kensington Road, London W8",An exceptional three bedroom lateral apartment with views over Kensington Gardens within a development of 97 residences designed by award-winning architect David Chipperfield. Ready for occupation. ,"£18,000,000",11/12/2018,"Strutt & Parker, London - New Homes",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96919/58760778/96919_LNW180207_IMG_01_0000_max_476x317.jpg
4 bedroom terraced house for sale,"Albert Road, London, NW4",A fantastic opportunity to purchase this four bedroom family home situated in the heart of Hendon. The ground floor benefits from a spacious double through lounge opening to a kitchen breakfast room and a WC. The property is located in a quiet residential area close to transport & amenities.,"£680,000",11/12/2019,"Hendon Estates, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170990/66990942/170990_HE_SDNK166621_IMG_00_0000_max_476x317.JPG
6 bedroom house for sale,"Chester Street, Belgravia","An exquisite six bedroom, six bathroom Grade II listed house, enviably situated in exclusive Belgravia.","£18,000,000",15/07/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/83332604/51305_5292_IMG_07_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Upper Grosvenor Street, Mayfair, London, W1K","A grand Mayfair townhouse in need of refurbishment, in a prime location just off Grosvenor Square.","£18,000,000",02/06/2019,"Savills, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49602/83477999/49602_MAS180075_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Shawfield Street, Chelsea, London, SW3",This is a unique family house which has been meticulously designed and newly built behind the original period facade. The house is 50' wide with an exemplary accommodation arrangement over 4 floors only.,"£18,000,000",04/01/2019,"John D Wood & Co. Sales, Chelsea Green",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/1k/669/86043953/669_CST180116_IMG_01_0000_max_476x317.jpg
8 bedroom detached house for sale,"The Bishops Avenue, London, N2","Detached 8 bedroom ambassadorial residence on The Bishops Avenue, N2 A stunning, new build home of approx. 14,566 sq ft. Situated on this premier road, this beautiful property has been built to an exemplary standard. The grand living accommodation is arranged over four floors and is generously p...","£17,995,000",07/01/2019,"Knight Frank, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65806/69330880/65806_HAM170057_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"The Bishops London, N2","Hidden and set back from the road behind security gates and guard, Huxley House is a magnificent newly constructed mansion of 14,529 sq ft (1,353 sqm) spanning 4 stories, offering 7 bedrooms with lift access to each floor. The meticulous and beautifully appointed leisure facilities inclu...","£17,995,000",01/08/2019,"Glentree Estates Ltd, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/191k/190037/64889754/190037_28984907_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Knighton Place, Yeoman's Row, Knightsbridge, SW3","A newly built 5 bedroom house with jacuzzi spa and garage for sale Blomfield House is a contemporary newly built townhouse in Yeoman's Row, a quiet residential street in Knightsbridge, SW3. Amenities include a media room, spa suite and gym, wine room, secure underground parking for two cars, and...","£17,950,000",25/05/2019,"Knight Frank, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65827/71855429/65827_SLA140246_IMG_13_0001_max_476x317.jpg
5 bedroom terraced house for sale,"Knighton Place, Knightsbridge, London, SW3","Rare, newly built Knightsbridge townhouse with the benefit of both underground parking and passenger lift, designed and developed by Finchatton.","£17,950,000",29/05/2019,"Savills, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25602/83477063/25602_KNH150154_IMG_02_0000_max_476x317.jpg
5 bedroom terraced house for sale,"Old Queen Street, St. James's Park, London, SW1H","A 5 bedroom house for sale in St. James's Park, Westminster SW1 An exceptional, newly refurbished, Grade II listed period house overlooking Birdcage Walk and the Royal Park. With a garden, terrace, 5 bedrooms and excellent reception spaces this is a remarkable property in a prestigious location...","£17,750,000",28/05/2019,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/75009805/94745_VIC180059_IMG_01_0000_max_476x317.jpg
5 bedroom house for sale,"Old Queen Street, London, SW1H","Old Queen Street presents an exceptional Grade II listed Georgian house built c. 1770. Recently refurbished to the highest standard, the residence has been beautifully interior-designed offering impressive high ceilings, large sash windows and intricate original features. Each floor from the ...","£17,750,000",23/05/2019,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/71874994/79099_1001614319_IMG_01_0001_max_476x317.jpg
5 bedroom house for sale,"South Street, London",A fabulous five bedroom townhouse that has been immaculately refurbished throughout with the additional rare benefit of a private integral garage.,"£17,500,000",18/10/2019,"Dexters, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142406/85746908/142406_29189521_IMG_01_0000_max_476x317.jpg
5 bedroom house for sale,"South Street, Mayfair, London, W1K",The only turn-key freehold house in Mayfair. The house boasts a garage and roof terrace.,"£17,500,000",15/11/2018,"Carter Jonas, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48609/68557087/48609_MLE180144_IMG_01_0000_max_476x317.jpg
5 bedroom town house for sale,"South Street, London, W1K","A stunning, new five Bedroom Townhouse set behind a period style façade. Situated on the prestigious South Street, the property is close to the open spaces of Hyde Park and the cosmopolitan boutiques of Mount Street.","£17,500,000",12/11/2018,"Wetherell, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/113k/112651/58009242/112651_81649S_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"South Street, Mayfair, London, W1K","A beautiful, newly built five bedroom freehold townhouse set behind an immaculate period façade on South Street. Spread over six floors, this meticulously refurbished home features five bedrooms, five bathrooms, a lift and a garage. ","£17,500,000",12/03/2019,"Chestertons Estate Agents , Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/32k/31623/80055866/31623_HPK170091_IMG_44_0000_max_476x317.jpg
4 bedroom flat for sale,"Chesham Place, London","An especially rare lateral apartment benefiting from four double bedroom suites, a large (approximately 47ft) west facing reception room, comfort cooling, two private gardens, private 12m swimming pool, gym, steam room, 24hr concierge and parking.","£17,500,000",13/12/2019,"Strutt & Parker, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/45k/44264/87453749/44264_SLN190073_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"South Street, Mayfair, London, W1K","A stunning, recently constructed townhouse set behind a period style façade, situated on prestigious South Street in Mayfair.","£17,500,000",11/06/2019,"Savills, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49602/83477933/49602_MBS180147_IMG_01_0000_max_476x317.jpg
4 bedroom flat for sale,"Chesham Place, Belgravia, London, SW1X","A 4 bedroom apartment with porter for sale in SW1X This impressive lateral apartment located in Chesham Place benefits from a private swimming pool and 24 hour security. EPC: C. An especially rare lateral apartment benefitting from 4 double bedroom suites, a large, approximately 40ft, west fac...","£17,500,000",27/11/2019,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/75833884/94745_BGV190057_IMG_01_0000_max_476x317.jpg
5 bedroom terraced house for sale,"South Street, Mayfair, London, W1K","5 bedroom house with garage for sale in Mayfair W1K A stunning 5 bedroom new build town house situated on the prestigious South Street, close to the open spaces of Hyde Park and cosmopolitan boutiques of Mount Street.
EPC: C. Spread over 6 floors, this immaculately refurbished home features the...","£17,500,000",19/02/2018,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/60355607/65815_WER120247_IMG_455_0001_max_476x317.jpg
3 bedroom apartment for sale,"Marylebone Square, Moxon St, Marylebone, W1U","Marylebone Square is one of London's most sought after locations, a boutique offering of only 54 private lateral apartments self-contained within a beautifully designed building. A rare opportunity to be part of the provenance of aristocratic estates in Central London. A contemporary take on a cl...",POA,09/09/2019,"Ernest-Brooks International, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/163k/162914/64948245/162914_CAN190649_IMG_01_0000_max_476x317.png
8 bedroom detached house for sale,"Courtenay Avenue, London, N6","Impressive detached house in 0.5acre on a magnificent private road This incredibly desirable property is located on one of Kenwoods most distinguished private roads with security. The property offers over 11,331 sqft of well-planned accommodation set in over half an acre of grounds. EPC: C This...","£16,999,999",29/09/2019,"Knight Frank, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65806/74430235/65806_HAM140047_IMG_01_0000_max_476x317.jpg
7 bedroom house for sale,"Hanover Terrace, London, NW1","A magnificent Grade I listed house which has just undergone a beautiful restoration and detailed refurbishment. The house benefits from a west facing rear garden, mews house and outstanding views over Regents Park The property is one of the largest houses in what is generally acknowledged as ...","£16,950,000",05/04/2019,"Beauchamp Estates, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/184k/183887/70965247/183887_1011264587_IMG_13_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Stanley Gardens, Notting Hill, London, W11","Fantastic communal garden house for sale in Notting Hill, W11 Arranged over six floors; this stunning property offers exceptional high quality modern living throughout. EPC: D. On the lower ground floor there is a large reception room offering superb light with floor to ceiling windows. This ...",POA,26/04/2018,"Knight Frank, Notting Hill",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65821/72801350/65821_NGH170011_IMG_15_0005_max_476x317.jpg
6 bedroom semi-detached house for sale,"The Little Boltons, London","A substantial freehold family house with a 52 ft west facing garden, large well proportioned rooms and high ceilings within an exceptional Chelsea location.","£16,750,000",14/01/2020,"Strutt & Parker, Fulham Road",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/53k/52788/88333031/52788_WEC190037_IMG_01_0000_max_476x317.jpg
7 bedroom semi-detached house for sale,"The Little Boltons, London, SW10","A substantial freehold family house with a 52ft west facing garden, large well proportioned rooms and high ceilings within an exceptional Chelsea location.","£16,750,000",14/01/2020,"Savills, Sloane Street",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48943/88323590/48943_SLH190036_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Acacia Road, St John's Wood, London, NW8","A rare opportunity to purchase a beautifully presented double fronted detached house (575sq. m/6,185sq. ft) arranged predominately on two floors only on the favoured East side of St Johns Wood with a carriage driveway. This magnificent home situated on one of St Johns Wood’s finest roads...","£16,500,000",24/10/2019,"Ian Green Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73947/75010813/73947_29207812_IMG_01_0000_max_476x317.jpg
2 bedroom apartment for sale,River Walk,"In a fabulous location within a few hundred yards of beautiful river walks and Kingston town-centre is this luxury 2 double bedroom/2 bathroom apartment, which has pretty balcony views of the roof top garden. The property is on the sixth floor with lift service access and has over 800 sq ft of ac...","£525,000",23/01/2020,"Stack & Bonner, Kingston Upon Thames",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46386/67832022/46386_100723004661_IMG_01_0000_max_476x317.jpg
7 bedroom semi-detached house for sale,"Clarendon Road, Holland Park","This stunning seven bedroom semi-detached house, built in 1846, benefits from being one of the few houses on this premium road, backing onto an exclusive garden square.","£16,500,000",23/08/2019,"Kinleigh Folkard & Hayward - Sales, Holland Park",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101798/73702945/101798_2222789_IMG_18_0001_max_476x317.JPG
7 bedroom semi-detached house for sale,"Clarendon Road, Holland Park","A magnificent seven bedroom semi-detached house built in 1846 with parking, large private garden and direct access on to an exclusive garden square, located on one of the best streets in W11.","£16,500,000",13/01/2020,"Dexters, Westbourne Grove",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/129k/128932/76741498/128932_29384041_IMG_01_0000_max_476x317.jpg
4 bedroom penthouse for sale,"Oceanic House, Cockspur Street, London",Striking four bedroom Penthouse apartment in the heart of St James's.,"£16,250,000",11/05/2019,"Strutt & Parker, London - New Homes",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96919/71630173/96919_LNW190036_IMG_07_0000_max_476x317.jpg
4 bedroom flat for sale,"Cockspur Street, London, SW1Y","An exquisite duplex penthouse located within the iconic Oceanic House, built as the offices for the famous White Star Line shipping company. This unique penthouse offers open plan living space flowing seamlessly throughout, creating the perfect space to entertain family and friends. The penthouse...","£16,250,000",19/02/2018,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/71563034/79099_1001574621_IMG_01_0003_max_476x317.jpg
3 bedroom penthouse for sale,"The Boiler House, Battersea Power Station, Battersea, SW8",Exclusive apartment available via our discreet marketing service. Contact us for further information. Battersea power station will set a new standard of luxury living in London. The apartment comprises an open plan reception including an open plan high specification kitchen with integrated applia...,POA,,"Ernest-Brooks International, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/163k/162914/63617415/162914_CAN170569_IMG_01_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Wilton Place, Belgravia, SW1X","Recently Refurbished Seven Bedrooms, Eight Bathrooms Luxury House Situated In The Exclusive & Highly Sought-After Area Of Belgravia.  Just A Short Walk Away From Hyde Park, The Fine Restaurants, Cafes And Designer Boutiques Of Sloane Street & Brompton Road.  ","£16,000,000",06/11/2019,"Knightsbridge, Estate Agents",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/112k/111955/75324361/111955_707_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Oak Hill Park, Hampstead, London, NW3",A unique opportunity to acquire a collection of freehold properties and garages within the private Oak Hill Park Estate.,POA,29/09/2019,"Savills, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48928/85230731/48928_HAH190064_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"Albemarle Street, Mayfair, London, W1S",A spectacular lateral third floor apartment with grand entertaining spaces and high ceilings of approximately 3.4m.,"£16,000,000",02/10/2019,"Savills, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/50k/49602/85342496/49602_MAS190026_IMG_01_0000_max_476x317.jpg
11 bedroom detached house for sale,"Frognal, London, NW3","10 bedroom original detached house for sale in Hampstead Village, NW3 Refurbished to exacting standards this fabulous lateral house is situated in the heart of Hampstead and benefits from period features and contemporary styling. The property offers a separate guest house and a separate studio a...","£15,995,000",27/06/2019,"Knight Frank, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65806/72554332/65806_HAM120098_IMG_01_0001_max_476x317.jpg
11 bedroom detached house for sale,"Frognal, Hampstead Village","This house enjoys a prominent position just three minutes' walk into Hampstead Village with much to offer from the abundance of stylish boutiques, top performing schools, independent shops and artisan food stores to the idyllic green spaces of Hampstead Heath and Kenwood. The house also benefits ...","£15,995,000",03/07/2019,"Goldschmidt & Howland, Hampstead - Sales",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87916/83054123/87916_HAM190201_IMG_01_0000_max_476x317.jpg
11 bedroom house for sale,"Frognal, Hampstead, London, NW3",A magnificent mansion which has undergone extensive renovation and offers accommodation for a large family and includes separate staff and guest quarters. The principal bedroom suite benefits from his & her bathrooms and dressing rooms and the gardens have been beautifully landscaped with a ...,"£15,995,000",01/07/2019,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/72619585/84235_RGS190186_IMG_01_0000_max_476x317.jpg
5 bedroom apartment for sale,"Montrose Place, London, SW1X",An exceptional five bedroom duplex apartment situated in one of London`s most desirable locations; Belgravia. The property benefits from a large reception room and an open plan kitchen and dining room and five spacious bedrooms with high ceilings throughout.,"£15,950,000",20/09/2019,"Rokstone, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176396/84968279/176396_2572_ROKS_IMG_01_0000_max_476x317.jpg
4 bedroom terraced house for sale,"Egerton Crescent, London, SW3",MAGNIFICENT REFURBISHED KNIGHTSBRIDGE HOUSE,"£15,950,000",06/10/2019,"Savills, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25602/74583655/25602_KNH190027_IMG_15_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Brompton Square, London, SW3",Substantial Grade II listed Georgian house located in a prime Knightsbridge garden square.,"£15,950,000",25/11/2019,"Savills, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25602/83477090/25602_KNH180058_IMG_01_0000_max_476x317.jpg
7 bedroom house for sale,"Winnington Road, London, London, N2 ","Behind the traditional exterior lies a breath-taking contemporary home interior designed to the highest of standards. The house was rebuilt, behind the original facade, some 4 years ago and comprises over 10,000 sq ft/ 930 sq m. Winnington Road is a wide tree lined street with a reputation for ...","£15,750,000",05/07/2018,"Arlington Residential, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195398/59514054/195398_28467401_IMG_28_0000_max_476x317.jpg
Studio apartment for sale,"Kensington Court, London, W8","An outstanding FREEHOLD property compromised of FOUR RESIDENTIAL APARTMENTS, moments from High Street Kensington. The building consists of: 2 x Two Bedroom Apartments 1 x Three bedroom Apartment 1 x Four Bedroom Penthouse All currently let producing a generous annual in...",POA,10/12/2019,"Chatterton Rees , London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160349/87385577/160349_29326653_IMG_29_0000_max_476x317.jpg
7 bedroom penthouse for sale,"Queenstown Road, Chelsea Bridge Wharf, Battersea Park, London, SW11","7 bed flat for sale in Chelsea Bridge Wharf, SW11 A must see, interior designed & highly distinctive penthouse apartment with seven bedrooms situated on the eleventh floor of the prestigious Lanson Building at Chelsea Bridge Wharf located a short walk from Sloane Square.
EPC: D A truly unique p...",POA,03/04/2019,"Knight Frank, Battersea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87310/80646002/87310_BAT180057_IMG_01_0006_max_476x317.jpg
7 bedroom detached house for sale,"Greenaway Gardens, London, NW3","New Instruction!A charming ambassadorial, detached family house on Hampstead's most coveted turning.Having been thoughtfully refurbished by the current owners the house offers spacious, well planned accommodation over 3 floors and retains a wealth of period features.","£15,000,000",01/10/2019,"Marcus Parfitt Residential Sales, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195101/85287512/195101_GrnawyGrdsNW3_IMG_00_0000_max_476x317.jpg
4 bedroom terraced house for sale,"Half Moon Street, Mayfair, London, W1J","An exceptional townhouse with cinema, lift and outside space Immaculately refurbished to the highest standard, this Grade II listed white stucco fronted house seamlessly blends contemporary design and period detail. EPC: C. An exceptional Grade II listed residence with accommodation spanning a...","£15,000,000",17/10/2019,"Knight Frank, Mayfair",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/85714904/65815_WER190082_IMG_01_0002_max_476x317.jpg
7 bedroom house for sale,"Redington Road, Hampstead NW3","Occupying an elevated position on this prestigious road in Hampstead, is this imposing double fronted ambassadorial style detached residence, offering in excess of 7,600 sq ft (713 sq m) of accommodation and approached via a sweeping gated carriage drive. This magnificent home has been t...","£15,000,000",11/11/2019,"TK International, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66289/66336171/66289_29256496_IMG_01_0000_max_476x317.jpg
5 bedroom maisonette for sale,"Hyde Park Gardens, London, W2","Set over the second and third floor of this grand Grade II listed building, Hyde Park Gardens offers spacious living areas with high ceilings and six large windows offering spectacular views over the gardens and beyond. There is potential for the development of a stunning open plan contemporar...","£15,000,000",03/02/2019,"Beauchamp Estates Ltd, Mayfair - Resale",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/80k/79099/69869860/79099_1009205581_IMG_01_0002_max_476x317.jpg
7 bedroom detached house for sale,"Redington Road, Hampstead, London, NW3","An imposing double fronted detached house, (713.3 sq m/7678 sq ft), occupying an elevated position on this prestigious road in the heart of Hampstead. The house is approached by a sweeping carriage driveway, and offers well-proportioned lateral accommodation is accessed via a grand reception hall...","£15,000,000",11/11/2019,"Aston Chase, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84235/75459733/84235_RGS190293_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Hamm Common, Richmond, London, TW10","Well situated in its own spacious grounds, this magnificent newly built house blends well with the scale and style of the elegant 18th and 19th century houses that overlook Ham Common, in this charming location just off Richmond Park. The house is set back from the road with open vie...",POA,08/11/2019,"Aylesford International, Chelsea",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42848/86415701/42848_CHE190003_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"Montrose Place, Belgravia SW1X","To the east of Belgrave Square, 10 Montrose Place is situated in one of London`s most desirable locations. This discreet, contemporary development comprises 18 large lateral apartments within two blocks centred around a colonnade and reception area that look out over a private, landscaped courtyard.","£14,950,000",11/05/2019,"Rokstone, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176396/81671930/176396_2044_IMG_01_0001_max_476x317.jpg
